DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 tempPesqFileDeg.wav	 2.432	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.668	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.328	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.985	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.550	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.673	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.333	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.577	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.307	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.805	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.392	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.814	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.432	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.680	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.464	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.567	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.264	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.621	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.581	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.791	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.586	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.668	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.328	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.985	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.550	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.673	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.333	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.577	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.307	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.805	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.392	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.814	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.432	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.680	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.464	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.567	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.264	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.621	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.581	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.791	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.586	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.673	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.333	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.680	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.464	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.814	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.432	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.567	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.264	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.791	 0.000	 0	 16000	0.0000
